country,description,price,province,title,variety,winery
Bulgaria,"This wine has enticing aromas of jasmine, white peach and orange blossom. It is well balanced with flavors of apricot and tangerine on the palate and a touch of bright orange flavor in the finish.",10.0,Thracian Valley,Domaine Boyar 2015 Muscat (Thracian Valley),Muscat,Domaine Boyar
Slovenia,"This Slovenian sparkling wine is made from 100% Ribolla Gialla in the Charmat method. It has aromas of green apple, brioche, toast and hazelnut. In the mouth, the bubbles are pleasant and prepare your palate for flavors of apple, hazelnut and toasted almond.",17.0,Primorska,Colliano 2012 Peneca Rebula Brut Ribolla Gialla (Primorska),Ribolla Gialla,Colliano
Croatia,"Savory in style with notes of smoke and black tea leaves on the nose, this full-bodied dry Welschriesling is vibrant on the palate with fresh apples and herbs. Strikingly high in acidity but finishes on a pleasantly tart apple skin note.",15.0,Podunavlje,Podrumi Belje 2009 Graševina Welschriesling (Podunavlje),Welschriesling,Podrumi Belje
Croatia,"Notes of sweet blueberry and blackberry jam entice on the nose and palate of this light to medium-bodied blend of Cab and Blaufränkisch. Soft on the palate with a core of sweet black fruit, it's balanced by smooth tannins, bright acidity and just a hint of bramble and wood. Surprisingly long on the finish.",13.0,Podunavlje,Iločki Podrumi 2007 Cabernet Sauvignon Blaufränkisch Red (Podunavlje),Red Blend,Iločki Podrumi
Bulgaria,"This Bulgarian Pinot Noir has aromas of black cherry, red raspberry and cinnamon. In the mouth, there are flavors of dried black cherry, fresh cherry juice and brown baking spices before the pleasant, persistent finish.",17.0,Danube River Plains,Chateau Burgozone 2014 Pinot Noir (Danube River Plains),Pinot Noir,Chateau Burgozone
Bulgaria,"This Sauvignon Blanc from Bulgaria's Thracian Valley has bright aromas of lemon grass, citrus blossom and freshly mowed lawn. It is medium bodied in the mouth, with flavors of freshly cut pineapple, guava and lemon meringue pie. The finish is clean, crisp and fruit filled.",13.0,Thracian Valley,Bulgariana 2015 Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Bulgariana
Bulgaria,"This Bulgarian Chardonnay has aromas of guava, custard apple and lemon pith. In the mouth there, are tropical fruit flavors like banana and mango with a crisp, clean finish.",17.0,Danube River Plains,Chateau Burgozone 2015 Chardonnay (Danube River Plains),Chardonnay,Chateau Burgozone
Slovenia,"This Slovenian Cabernet Sauvignon has aromas of bramble, pencil lead and red plum. It is soft on entry into the mouth with flavors of black plum, black raspberry and a soft, sweet tannic finish.",27.0,Goriska Brda,Bagueri 2011 Cabernet Sauvignon (Goriska Brda),Cabernet Sauvignon,Bagueri
Slovenia,"Ripe and rich in texture, this powerful Slovenian Cabernet balances a bold black-cherry flavor with loads of savory dried herb, graphite and reverberating acidity. There's a nervous quality about this wine that could smooth out with a good decant, or a few more years in a cellar.",38.0,Brda,Movia 2007 Cabernet Sauvignon (Brda),Cabernet Sauvignon,Movia
Slovenia,"This Slovenian red blend of 40% Cabernet Franc, 30% Cabernet Sauvignon and 30% Merlot has aromas of raspberry, cherry and a touch of green bramble. In the mouth, there is balanced acidity with flavors of cherry pie and dried plums. The finish is persistent with grippy tannins.",15.0,Goriska Brda,Colliano 2012 Cuvée Red (Goriska Brda),Bordeaux-style Red Blend,Colliano
Bulgaria,"Soft blackberry, cinnamon and pepper aromas lead flavors of juicy berry and savory spice in this Merlot from Bulgaria. Good tannins and structure give the wine ageability, which will also temper its oaky character. Overall, an impressive effort from an emerging region.",8.0,Thracian Valley,Vini 2006 Veni Vidi Vici Merlot (Thracian Valley),Merlot,Vini
Croatia,"Both the nose and palate of this medium-bodied Plavac Mali are soft and pulpy with overripe red fruit accented by the scent of golden hay. Bright acidity in the midpalate adds freshness, and moderate tannins are mouthcoating with a soft, powdery grain.",13.0,Peljesac,Istravino 2008 De Mar Plavac Plavac Mali (Peljesac),Plavac Mali,Istravino
Slovenia,"Notes of mint and thyme add savory tones to bright, pristine flavors of cassis and black cherry in this blend of Merlot, Pinot Noir and Cabernet Sauvignon. Structured and full bodied, this has warm oak tones and striking acidity. It's delicious now, but it should continue to develop over the next five years.",50.0,Brda,Movia 2004 Veliko Red (Brda),Red Blend,Movia
Serbia,"This aged Riesling is medium gold colored, with pleasant aromas of lemon peel and petrol. It is round and generous on the palate, with flavors of lemon custard and green olive tapenade. The finish is long, with lingering flavors of lemon pith.",22.0,Župa,Budimir 2008 Margus Margi Riesling (Župa),Riesling,Budimir
Bulgaria,This garnet colored wine has aromas of red plums and black pepper. There are jammy flavors of ripe cherry and red raspberry on the palate. There's a nice acidic bite and a pleasant touch of astringency on the finish.,9.0,Thracian Valley,Vini 2012 Veni Vidi Vici Merlot (Thracian Valley),Merlot,Vini
Slovenia,"This blend of 40% Ribolla Gialla, 30% Chardonnay and 30% Sauvignonasse has aromas of freshly cut grass, lemon grass and white peach. It is clean and bright in the mouth with flavors of peach, apple, pear and apricot.",15.0,Goriska Brda,Colliano 2013 Cuvée White (Goriska Brda),White Blend,Colliano
Macedonia,"This Merlot-Cabernet-Vranec blend offers an appealing, easydrinking array of warming spice, dark berries and spice on the nose and palate. Full in the mouth with a fruity character backed by acid and spice, it will pair well with veal or pork.",16.0,Tikves,Bovin 2006 Alexandar Red (Tikves),Red Blend,Bovin
Slovenia,"Rebula is known in Slovenia as “The Queen Of Brda.” This orange wine has aromas of toasted hazelnuts, black Chinese tea and mulled citrus rind. It's fermented with its skins and barrel aged for two years. A pleasant nutty oxidative character characterizes the finish. It would make any wine geek proud to pair it with a juicy steak.",25.0,Goriska Brda,Kabaj 2011 Rebula (Goriska Brda),Rebula,Kabaj
Slovenia,"Sivi Pinot is the Slovenian name for Pinot Gris and this will delight oenophiles looking for a new orange wine. It's pinkish brown in color due to two years of barrel aging and has aromas of peach cobbler and freshly baked piecrust. Smooth in the mouth, it discloses pronounced flavors of custard and crème brûlée. Think about pairing it with some of your strongest and ripest cheeses.",25.0,Goriska Brda,Kabaj 2011 Sivi Pinot Pinot Gris (Goriska Brda),Pinot Gris,Kabaj
Bulgaria,"This garnet-colored wine has aromas of blackberry and boysenberry with secondary whiffs of tobacco leaf and saddle leather. Flavors of cherry cola, black raspberry and black cherry characterize the midpalate, followed by a soft tannic finish.",14.0,Danube River Plains,Chateau Burgozone 2011 Pinot Noir (Danube River Plains),Pinot Noir,Chateau Burgozone
Slovenia,"Honeyed on the nose with bursts of ripe yellow peach and apricot, this dry, full-bodied Sauvignon is similarly soft and fruity on the palate. Fresh green floral and herb notes add vibrance to a moderately long finish.",15.0,Štajerska,Pullus 2009 Sauvignon (Štajerska),Sauvignon,Pullus
Croatia,"Soft and sweet on the nose with scents of cherry pie, vanilla and spice, this unusually light-bodied Plavac Mali is fresh and vibrant with a bright red fruit core and zippy acidity. There's a tinge of green on the midpalate, but soft, furry tannins and the sour cherry finish are pleasant.",12.0,Peljesac,Dingač Winery 2009 Plavac Mali (Peljesac),Plavac Mali,Dingač Winery
Croatia,"This Croatian white has delightful aromas of pineapple, tropical fruits and fresh cut honeycomb. It's round and generous in the mouth, with flavors of guava and lime rind that lead in to the clean, astringent finish.",27.0,North Dalmatia,Bibich 2012 P9 Posip (North Dalmatia),Posip,Bibich
Bulgaria,"Scents of perfumed lilac talc, vanilla and smoked meats frame the red and black fruit core of this wine. The medium-length finish has lingering flavors of ripe black cherries.",19.0,Thracian Valley,Rumelia Wine Cellar 2012 Merul Reserve Merlot (Thracian Valley),Merlot,Rumelia Wine Cellar
Bulgaria,"This garnet-colored Merlot has aromas of black plum, cherry and saddle leather which pave the way for soft flavors of raspberry, red plum and a smooth tannic finish.",9.0,Thracian Valley,Vini 2015 Veni Vidi Vici Merlot (Thracian Valley),Merlot,Vini
Bulgaria,"Ruby red in the glass, this blend is composed of 80% Merlot, 14% Syrah, 4% Cabernet Sauvignon and 2% Petit Verdot. Aromas suggest cherry, blackberry, and a touch of new saddle leather. In the mouth, flavors of fresh black cherry and tart cherry prevail, with fine tannins in the persistent finish.",100.0,Thracian Valley,Midalidare 2012 Reserve Red (Thracian Valley),Red Blend,Midalidare
Bulgaria,"Notes of ripe red berries are featured on the nose of this off-dry rosé, alongside hints of dusty mineral and tomato water. It's straightforward on the palate, with a cheery, slightly candied berry flavor, but it finishes clean with brisk acidity.",9.0,Bulgaria,Vini 2011 Veni Vidi Vici Pinot Noir-Syrah Rosé (Bulgaria),Rosé,Vini
Bulgaria,"Straw colored in the glass, this Bulgarian Chardonnay has aromas of custard apple, mango and lemon flowers. In the mouth, it has flavors of green apple, white peach and tropical fruit flavors, especially guava and mango. It is well rounded in the mouth with a soft finish.",12.0,Thracian Valley,Bulgariana 2015 Unoaked Chardonnay (Thracian Valley),Chardonnay,Bulgariana
Croatia,"This sweet red wine shows aromas of toasted hazelnut and ripe plum on the nose. The nutty character continues to the palate, with additional tones of chamomile tea and aromatic herb.",50.0,North Dalmatia,Bibich NV Ambra Red (North Dalmatia),Red Blend,Bibich
Bulgaria,"A crisp nose of lemon, grass and spice leads this Traminer from Bulgaria. On the palate, the wine is light and pretty, and while simple, offers a delightful pairing with cheeses, poultry.",10.0,Thracian Valley,Vinex Slavyantsi 2007 Slavyantsi Estate Traminer (Thracian Valley),Traminer,Vinex Slavyantsi
Ukraine,"This ruby-red sweet wine is nonvintage made and from Muscat Hamburg. It has aromas of cassis syrup and freshly ground dried herbs. In the mouth, there are flavors of sweet ripe cherry preserves, blackberry sauce and sweet pomegranate juice.",9.0,Ukraine,Koblevo NV Royal Reserve Muscat Hamburg (Ukraine),Muscat Hamburg,Koblevo
Bulgaria,"Easygoing and not too complex this straightforward Cabernet Sauvignon offers aromas and flavors of red cherry, plum and black currant. The finish is medium length with persistent soft tannins.",9.0,Thracian Valley,Vini 2015 Veni Vidi Vici Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Vini
Slovenia,"Earthy with hints of roasted nuts and dried herb, this is a uniquely savory Sauvignon that would pair well with herb-accented fowl and fish. The palate is round and rich, but balanced with brisk lime acidity and a characteristic grassiness on the finish.",20.0,Slovenia,Ciringa 2011 Fosilni Breg Sauvignon Blanc (Slovenia),Sauvignon Blanc,Ciringa
Slovenia,Aromas of black cherry and smoked meats lead to tastes of black cherry and vanilla. It is soft both on entry and finish.,7.0,Primorska,Avia 2014 Hand Harvested Estate Bottled Pinot Noir (Primorska),Pinot Noir,Avia
Croatia,"Bright cherry, red plum and vanilla notes are well pronounced in the nose and on the palate. There's a touch of cherry-vanilla soda as well. The finish pops with a bright persistence of fruit.",20.0,North Dalmatia,Zlatan Otok 2010 Plavac Mali (North Dalmatia),Plavac Mali,Zlatan Otok
Slovenia,"Zesty and full bodied, this has delightful aromas of freshly mowed lawn, lemon pith and grapefruit zest. It's clean, crisp and somewhat astringent on the palate, making this a great wine to pair with raw clams and oysters.",15.0,Štajerska,Pullus 2012 Dry White Sauvignon Blanc (Štajerska),Sauvignon Blanc,Pullus
Bulgaria,"Aromas of bright lemon zest, freshly cut grass, passion fruit and grapefruit lead to flavors of kumquat, mango and lemongrass. There's salty minerality and a nice touch of acidity on the finish.",14.0,Danube River Plains,Chateau Burgozone 2012 Sauvignon Blanc (Danube River Plains),Sauvignon Blanc,Chateau Burgozone
Croatia,"While bold and rich with a concentrated black fruit character, Korta Katarina's Plavac Mali is also wonderfully expressive with glimmers of rose petal, espresso and chocolate under a spray of raspberry perfume. Big, ripe tannins subside with aeration to a smooth, finely grained texture, finishing on a delicious black cherry and vanilla note.",38.0,Peljesac,Korta Katarina 2006 Plavac Mali (Peljesac),Plavac Mali,Korta Katarina
Slovenia,"This has ebullient aromas of cherry blossom, grapefruit and yuzu peel. Structurally complex, this has concentrated flavors of sour plum and pink grapefruit. It's brisk with acidity, and there's a lavish minerality that lingers long on the finish.",50.0,Brda,Movia 2007 Veliko White (Brda),White Blend,Movia
Croatia,"This Croatian white is made from 100% Debit and has aromas of dried apricot, toasted brioche, peach and just a touch of cinnamon in the bouquet. The palate is generous, with delightful flavors of white and yellow peaches and fresh apricot nectar. It's aged for 24 months in French oak; 150 cases produced.",35.0,North Dalmatia,Bibich 2010 Lucica Debit (North Dalmatia),Debit,Bibich
Bulgaria,"This Bulgarian red blend is composed of 40% Cabernet Sauvignon, 40% Syrah and 20% Merlot. It has aromas of black cherry and eucalyptus and flavors of black pepper and black cherry.",17.0,Thracian Valley,Minkov Brothers 2013 Tradition Since 1875 Cuvée Red (Thracian Valley),Red Blend,Minkov Brothers
Bulgaria,"This Syrah from Bulgaria's Thracian Valley is garnet in the glass with aromas of cherry cola and black cherry. It has flavors of black raspberry, red plum and cherry with a grippy tannic finish.",19.0,Thracian Valley,Minkov Brothers 2014 Le Photographe Syrah (Thracian Valley),Syrah,Minkov Brothers
Bulgaria,"This garnet-colored Bulgarian Cabernet Sauvignon has aromas of black cherry and wet river rock. In the mouth, there are flavors of black plum, black cherry and a touch of graphite before the smooth tannic finish.",11.0,Thracian Valley,Domaine Boyar 2013 Reserve Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Domaine Boyar
Czech Republic,"This red blend has a nose of fresh cherry, red plum and clove. In the mouth, it offers a combination of fruit and spice flavors featuring anise, black plum, Chinese five spice, and black cherry. There is a burst of still-youthful acidity on the finish, but this should be drunk within the next year or two.",45.0,Moravia,Stapleton & Springer 2007 Roucí Red (Moravia),Red Blend,Stapleton & Springer
Bulgaria,"Brilliant yellow with green highlights, this Bulgarian Sauvignon Blanc has aromas and flavors of tropical fruits like mango, papaya and kumquat. There's gentle acidity in the palate and generous mouthfeel.",11.0,Thracian Valley,Bulgariana 2012 Sauvignon Blanc (Thracian Valley),Sauvignon Blanc,Bulgariana
Slovenia,"This blend of 70% Blaufränkisch, 20% Pinot Noir and 10% Zweigelt has aromas of cranberry, pomegranate and dried cherry with flavors of blackberry and red raspberry. There's a pleasant touch of spicy black pepper in the finish.",20.0,Štajerska,Dveri-Pax 2011 Benedict Cuvée Red (Štajerska),Red Blend,Dveri-Pax
Bulgaria,"Chamomile and fresh herb notes lend breeziness to this pretty floral white wine. The palate is robust, concentrated with white grapefruit flavor, and tinged with a pleasantly astringent lime-pith finish.",17.0,Thracian Valley,Castra Rubra 2011 Via Diagonalis White (Thracian Valley),White Blend,Castra Rubra
Ukraine,This wine has aromas of pomegranate juice and dried cherry. Flavors suggest pomegranate juice and tart cherry conserves.,6.0,Ukraine,Côtnar Hills 2014 Merlot (Ukraine),Merlot,Côtnar Hills
Bulgaria,"This garnet-colored Bulgarian Cabernet Sauvignon has aromas of black cherry and wet river rock. In the mouth, there are flavors of black plum, black cherry and a touch of graphite before the smooth tannic finish.",11.0,Thracian Valley,Domaine Boyar 2013 Reserve Cabernet Sauvignon (Thracian Valley),Cabernet Sauvignon,Domaine Boyar
Bulgaria,"This Kosher red blend from Bulgaria is comprised of 55% Merlot, 35% Cabernet Sauvignon, 5% Rubin and 5% Mavrud. It has aromas of cranberry, pomegranate and dried Mediterranean herbs. It's flavored with black plum and dark cherry and presents the palate with a well-rounded, soft tannin finish.",20.0,Thracian Valley,Castra Rubra 2010 Via Diagonalis Red (Thracian Valley),Red Blend,Castra Rubra
Slovenia,"This blend is garnet colored with a hint of eucalyptus in the bouquet, opening up to aromas of black fruit, forest floor and freshly picked mushroom. Minerality abounds on the palate, with flavors of red berries and black plums.",46.0,Goriska Brda,Kabaj 2008 Cuvée Morel Red (Goriska Brda),Bordeaux-style Red Blend,Kabaj
Bulgaria,"At $8, this is a great find, and has the exotic Bulgarian label to boot. The nose is all lemon zest and spice, and on the palate there is a lively, minerally punch with soft citrus flavors layered over it. A lovely summer sipping wine, best paired with seafood and salads.",8.0,Bulgaria,Targovishte 2006 Sauvignon Blanc (Bulgaria),Sauvignon Blanc,Targovishte
Bulgaria,"This Bulgarian Pinot Noir offers the nose black and red cherries and dried violets. It is well balanced in the mouth with soft, rounded tannins and flavors of dark cherry, cranberry and dried Mediterranean herbs.",28.0,Thracian Valley,Castra Rubra 2013 Nimbus Premium Pinot Noir (Thracian Valley),Pinot Noir,Castra Rubra
Ukraine,"Fresh apple notes on the nose of this off-dry sparkling are pretty, but hindered by whiffs of dust and green stems. Softly pétillant with a creamy, mouth-filling froth, it finishes with a pleasantly sweet note. An unusual blend of Pinot Franc, Chardonnay, Aligote and Riesling.",13.0,Ukraine,Artemovsk 2008 KrimSekt White Collection Semi-Dry Sparkling (Ukraine),Sparkling Blend,Artemovsk
Slovenia,"Dark cherry to garnet in color, it offers notes of blackberry, pomegranate and black cherry in its bouquet. A strong acidic backbone and persistent cranberry flavor at the finish make this a wine that calls out for food.",15.0,Štajerska,Pullus 2011 Dry Red Pinot Noir (Štajerska),Pinot Noir,Pullus
Macedonia,"This garnet-colored Pinot Noir is named after Alexander the Great—The Macedon. It has aromas of cherry and vanilla and bright top notes of fresh red raspberry. Medium bodied, it delivers fresh flavors of cranberry and cherry in the finish.",15.0,Tikves,Stobi 2011 Macedon Pinot Noir (Tikves),Pinot Noir,Stobi
